SA4_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
201,829,2349,744,798,99,5758,786,779,3019,1677,2170,310,8742,51,26,235,156,275,34,784,35,37,150,233,1130,64,1645,56,30,208,165,671,243,1379,2919,2451,10975,7258,18368,1980,43946
202,898,2232,618,661,108,5277,813,805,2933,1660,2341,316,8868,54,31,192,109,246,36,668,62,39,193,252,1233,58,1836,57,39,204,173,654,249,1377,2748,2635,11126,6869,18387,1980,43745
203,1380,4695,1544,1301,203,10929,1355,1266,5719,2903,3948,539,15734,77,64,394,271,461,64,1334,102,67,411,596,2129,92,3396,109,62,510,427,1218,446,2768,5792,4270,23570,15000,32809,3358,84799
204,831,2136,748,831,121,5284,534,591,2512,1992,2456,335,8419,21,25,126,152,304,46,682,45,20,147,269,1491,74,2056,39,32,196,225,896,325,1720,2070,2189,9827,8982,23044,2592,48704
205,1144,3279,1119,1328,180,7805,790,837,3548,2559,3753,542,12032,43,25,235,234,437,52,1021,36,40,213,413,2283,111,3105,46,23,250,332,1402,500,2549,2670,2985,13559,11710,35239,3910,70071
206,4001,11268,1969,1189,380,29056,7563,3020,15521,3332,2486,747,32661,1112,493,4097,1148,1035,179,8063,903,320,2233,1267,2279,200,7211,1338,326,3732,1228,1320,1002,8942,48368,16484,119560,31365,32296,6441,254513
207,2015,6159,1211,786,235,14922,4199,1714,9844,2517,1715,655,20633,296,129,1001,358,349,59,2189,452,170,1118,688,1432,104,3972,765,187,1951,660,743,489,4799,24139,8337,58065,17082,17292,3749,128665
208,2396,7487,1866,1168,298,17655,3567,1732,9411,3206,2595,630,21148,323,157,1240,543,584,74,2905,333,154,1121,932,2094,161,4781,766,177,2065,936,1313,629,5884,22489,9185,62358,23189,27594,4710,149528
209,2686,7477,2260,1896,348,18611,3151,1910,9653,4844,5190,885,25627,205,138,943,520,632,82,2520,341,156,966,1140,3558,253,6414,476,128,1560,963,2195,960,6279,17358,8284,50079,27851,47834,6330,157744
210,1450,4429,1464,1398,272,10771,1363,926,4843,2979,3216,562,13889,109,58,506,310,460,68,1507,149,48,558,772,2640,168,4339,301,83,914,698,1639,699,4336,8628,4285,29210,19118,34741,4715,100701
211,2692,8009,2618,2126,369,19268,2318,1935,8993,5601,6043,858,25744,160,96,804,583,743,89,2483,437,191,1166,1307,4641,228,7970,478,137,1562,1112,2827,939,7056,15024,8290,50235,30678,58015,6008,168261
212,2251,7918,2788,2396,438,20139,3165,1800,11752,7222,8087,1263,33290,190,88,795,644,953,122,2787,428,137,1345,1796,5641,383,9737,844,156,2544,1879,3853,1694,10962,22967,7822,64878,41504,71565,9885,218613
213,2584,8122,2662,2398,414,20029,3067,1866,10536,6024,6273,1011,28778,307,136,1363,803,1145,161,3912,393,177,1269,1516,4590,330,8280,741,161,2236,1587,3248,1559,9524,23447,8769,67316,38734,65762,9284,213315
