UCL_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL221046,135,148,58,25,550
UCL221047,71,61,24,3,369
UCL221048,40,24,5,3,406
UCL221049,54,38,7,7,282
UCL221050,171,191,65,15,711
UCL221051,48,11,14,0,323
UCL221052,60,56,34,18,345
UCL221053,64,47,20,13,287
UCL221054,44,17,0,0,233
UCL221055,73,72,36,9,400
UCL221056,73,92,24,3,329
UCL221057,77,59,25,7,300
UCL221058,47,33,11,0,306
UCL221059,60,39,24,3,331
UCL221060,77,97,62,20,330
UCL221061,67,36,8,3,387
UCL221062,80,75,35,8,373
UCL221063,48,37,18,18,241
UCL221064,43,20,3,0,314
UCL221065,59,31,11,0,266
UCL221066,37,24,4,4,173
UCL221067,72,71,19,6,401
UCL221068,76,74,33,13,445
UCL221069,131,82,17,9,793
UCL221070,58,46,33,11,333
UCL221071,50,19,0,0,267
UCL221072,96,115,52,30,469
UCL221073,98,80,36,10,364
UCL221074,152,135,60,9,597
UCL221075,75,61,29,21,328
UCL221076,60,31,7,0,271
UCL221077,72,69,19,5,294
UCL221078,74,44,15,6,308
UCL221079,70,45,3,0,409
UCL221080,45,27,24,17,231
UCL221081,114,77,42,22,547
UCL221082,62,32,13,3,298
UCL222001,32,18,5,6,156
UCL222002,54,33,12,0,209
UCL222003,25,11,6,0,106
UCL222004,3,0,0,0,20
UCL222005,15,16,8,0,99
UCL222006,50,40,5,3,225
UCL222007,21,21,3,3,105
UCL222008,34,25,6,0,149
UCL222009,33,22,13,7,144
UCL222010,34,25,8,0,179
UCL222011,33,12,3,0,162
UCL222012,46,24,9,5,153
UCL222013,33,21,18,0,128
UCL222014,79,39,8,3,221
UCL222015,51,21,6,3,198
UCL222016,26,13,0,0,170
UCL222017,28,16,9,0,216
