SED_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SED22704,0,22,0,216,16,9,7,13,3,25,0,17,4,77,383,548,23,4,5,15,0,4,0,4,4,107,56,230,1242,366,84,1050,101,681,73,604,107,2863,497,7682
SED22802,0,8,0,140,19,0,3,10,3,13,0,3,3,49,210,312,8,0,8,17,0,8,0,3,4,71,36,155,1258,238,44,831,95,542,46,378,60,1780,284,5558
SED22901,3,12,0,215,7,3,0,3,3,14,0,11,3,27,225,297,7,3,7,7,0,3,0,0,0,43,28,95,1199,211,27,749,58,569,25,409,48,1990,281,5568
SED23007,3,4,0,345,16,3,0,13,3,16,0,17,0,37,350,452,3,4,4,3,0,3,0,0,3,58,57,141,2006,375,60,967,98,840,36,421,58,1747,453,7060
SED23101,0,43,3,263,5,4,3,5,3,7,0,9,3,50,251,339,3,6,3,0,0,0,0,8,5,60,29,105,795,224,23,478,35,519,24,466,39,2668,313,5578
SED23205,3,17,0,177,28,3,0,6,3,13,0,10,0,58,269,396,3,0,6,7,0,4,0,3,0,74,39,143,1171,216,40,753,81,554,49,412,70,2043,336,5720
SED23308,3,33,0,312,11,3,3,15,5,18,3,7,4,54,312,434,11,0,3,3,3,4,0,4,3,66,38,135,1328,290,52,956,88,595,40,478,50,2052,379,6303
SED23402,0,21,0,272,14,6,3,10,3,13,0,4,3,49,247,355,10,0,9,6,7,3,0,4,3,42,21,104,1480,245,50,966,90,651,39,399,71,1934,317,6226
SED23502,3,27,0,156,16,3,0,12,0,15,0,16,7,74,408,552,13,3,3,13,3,5,0,4,3,100,69,229,971,425,94,932,105,537,66,615,121,3431,548,7837
SED23602,0,19,0,224,11,6,0,10,4,13,0,21,4,72,338,481,15,3,10,6,0,8,0,8,3,87,45,191,1023,352,73,983,88,567,71,570,93,2545,432,6792
SED23702,0,16,0,147,14,3,0,22,0,10,0,10,3,52,290,400,9,3,5,8,3,7,0,9,3,81,45,170,1390,248,59,976,98,659,44,444,69,2152,364,6505
SED23806,10,149,4,1094,24,3,3,11,0,11,0,4,3,31,363,450,16,6,0,11,0,3,0,11,0,32,21,95,1998,346,38,794,85,647,35,535,65,1600,399,6546
SED23901,3,53,0,511,26,3,0,6,0,7,0,13,3,36,275,367,10,0,0,4,0,6,0,0,0,51,40,109,1373,244,35,743,78,584,33,430,36,1908,341,5816
SED24006,8,148,4,866,5,8,3,3,0,3,0,7,0,40,283,356,12,4,3,3,3,3,0,3,3,45,28,101,1004,251,21,593,58,515,34,463,57,1808,338,5138
SED24105,0,12,0,127,18,3,0,8,3,10,0,9,5,42,218,317,3,0,3,5,3,8,0,5,3,45,48,125,1044,199,37,534,58,655,28,371,62,2142,294,5424
SED24207,0,3,0,135,9,4,0,4,8,18,0,8,5,38,205,305,3,4,3,8,0,3,0,3,3,62,55,149,1162,169,45,611,71,723,32,334,66,1796,298,5302
SED24308,0,13,0,154,17,0,0,3,3,22,3,7,3,60,235,360,5,0,3,8,0,0,0,3,0,81,55,158,1017,191,41,740,73,574,49,402,56,2273,333,5754
SED24408,0,29,3,212,27,10,0,15,3,20,3,13,3,72,306,467,15,0,5,13,3,0,0,3,3,82,62,177,1319,346,91,1104,97,544,71,477,88,2391,439,6968
SED24504,10,33,5,382,8,7,0,13,0,18,0,7,0,38,310,408,11,6,9,18,0,6,0,3,0,41,34,125,1068,391,66,896,100,667,63,522,80,2092,382,6326
SED24606,17,221,5,1216,22,3,0,12,0,6,0,3,0,35,344,438,3,0,0,9,3,4,0,3,0,41,20,80,1575,323,33,767,70,634,41,524,49,1569,379,5963
SED24703,5,89,0,1555,30,8,6,17,11,10,0,6,0,20,741,852,17,0,3,6,0,5,0,0,0,23,33,82,3734,712,84,1588,188,1483,72,772,82,1847,793,11357
SED24808,3,13,0,130,14,0,3,15,3,24,0,18,0,51,247,389,14,3,10,9,0,5,0,0,4,78,40,162,1443,199,55,876,113,862,36,420,81,2056,328,6470
SED24904,3,22,0,148,22,12,3,17,0,16,4,7,5,59,316,455,14,3,14,9,4,5,0,7,3,97,92,245,1302,283,65,1004,94,597,47,389,91,2421,469,6750
SED25003,3,5,0,96,13,0,4,8,3,12,3,10,0,20,184,253,12,4,3,9,0,3,0,4,0,34,33,107,1202,154,46,689,79,626,28,309,49,1590,236,5011
SED25102,3,16,0,292,11,0,3,4,7,9,0,4,0,31,249,321,8,0,3,4,3,3,0,4,3,46,27,97,1255,279,35,944,95,596,30,478,73,1523,294,5604
SED25205,0,18,0,350,13,0,0,13,0,7,3,9,6,30,271,347,12,4,3,6,0,3,0,3,3,40,27,101,1526,205,38,727,88,567,34,370,38,1766,329,5682
SED25302,4,83,3,496,15,7,0,10,3,6,3,6,5,68,336,455,9,0,7,5,5,7,0,4,0,86,41,168,981,318,48,715,74,523,38,568,80,2918,425,6687
SED25402,3,18,0,251,6,7,0,10,0,18,0,6,3,68,301,432,10,0,4,12,0,9,0,0,5,81,53,172,1065,237,50,991,82,717,61,530,123,2501,417,6755
